IliadLine, Omega1.12Folio
urn:cts:greekLit:tlg0012.tlg001.e4:21.163,urn:cite2:hmt:e4.v1:181r
urn:cts:greekLit:tlg0012.tlg001.e4:22.298,urn:cite2:hmt:e4.v1:190bisv
urn:cts:greekLit:tlg0012.tlg001.e4:23.151,urn:cite2:hmt:e4.v1:195v
urn:cts:greekLit:tlg0012.tlg001.e4:23.433,urn:cite2:hmt:e4.v1:199v
urn:cts:greekLit:tlg0012.tlg001.e4:23.645,urn:cite2:hmt:e4.v1:202r
urn:cts:greekLit:tlg0012.tlg001.e4:23.747,urn:cite2:hmt:e4.v1:203v
urn:cts:greekLit:tlg0012.tlg001.e4:23.824,urn:cite2:hmt:e4.v1:204v
urn:cts:greekLit:tlg0012.tlg001.e4:23.893,urn:cite2:hmt:e4.v1:205r
urn:cts:greekLit:tlg0012.tlg001.e4:23.896,urn:cite2:hmt:e4.v1:205r
urn:cts:greekLit:tlg0012.tlg001.e4:24.474,urn:cite2:hmt:e4.v1:212r
urn:cts:greekLit:tlg0012.tlg001.e4:24.574,urn:cite2:hmt:e4.v1:213r
